date,equipment_id,equipment_type,model,year,status,operating_hours,daily_hours_worked,fuel_consumption_lh,productivity_score,location,maintenance_cost_usd,downtime_hours,operator_id,equipment_age,utilization_rate,fuel_efficiency,maintenance_due_soon,health_score,hours_category,downtime_ratio,cumulative_hours,days_since_maintenance,equipment_id_encoded,equipment_type_encoded,model_encoded,status_encoded,location_encoded,operator_id_encoded,hours_category_encoded
2025-08-15,EQ-001,Excavator,Hitachi EX1200,2018,Operational,5860,10,-0.12759869957512407,1.3002132450394666,Pit C,-0.4523623898097382,0,OP-022,0.40766598041790636,1.257405380012585,0.8206291545022761,-0.6201736729460423,1.1151410441568654,Low,-0.59178801922125,10,0,0,1,6,2,2,21,1
2025-08-16,EQ-001,Excavator,Hitachi EX1200,2018,Standby,5879,0,-1.0760447490911682,-0.6831039168208598,Workshop,-0.4523623898097382,0,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,-0.6201736729460423,-0.33938266263658384,Low,-0.59178801922125,10,1,0,1,6,3,5,15,1
2025-08-17,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5892,0,-0.7057515889753253,-0.6831039168208598,Pit C,0.580694924067239,9,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,1.61245154965971,-0.8776521264992911,Low,0.7259476049954069,10,2,0,1,6,1,2,15,1
2025-08-18,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5923,0,-1.020982569148292,-0.6831039168208598,Workshop,0.1647257945546172,2,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,-0.6201736729460423,-0.4589980990505188,Low,-0.2989578805064374,10,3,0,1,6,1,5,15,1
2025-08-19,EQ-001,Excavator,Hitachi EX1200,2018,Standby,5924,0,1.6151192956169103,-0.6831039168208598,Pit B,-0.4523623898097382,0,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,-0.6201736729460423,-0.33938266263658384,Low,-0.59178801922125,10,4,0,1,6,3,1,15,1
2025-08-20,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5905,0,0.6474014831208595,-0.6831039168208598,Workshop,3.4529011853233227,11,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,1.61245154965971,-0.9972675629132262,Low,1.0187777437102195,10,5,0,1,6,1,5,15,1
2025-08-21,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5986,0,-0.3616129643323483,-0.6831039168208598,Pit B,1.1400320545283857,3,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,-0.6201736729460423,-0.5188058172574863,Low,-0.15254281114903104,10,6,0,1,6,1,1,15,1
2025-08-22,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6014,0,1.1911405100567634,-0.6831039168208598,Workshop,-0.3873419724781536,9,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,1.61245154965971,-0.8776521264992911,Low,0.7259476049954069,10,7,0,1,6,1,5,15,1
2025-08-23,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5972,0,0.08439069320494935,-0.6831039168208598,ROM,2.148050449929846,20,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,1.61245154965971,-1.5355370267759334,Low,2.3365133679268766,10,8,0,1,6,1,3,15,1
2025-08-24,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6031,0,0.38172646489648165,-0.6831039168208598,Stockpile,2.458613809731017,14,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,1.61245154965971,-1.1766907175341286,Low,1.4580229517824388,10,9,0,1,6,1,4,15,1
2025-08-25,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6020,0,0.9502434728066792,-0.6831039168208598,Workshop,0.6360228568276557,23,OP-016,0.40766598041790636,-0.5520520622440328,-0.5732389368585266,1.61245154965971,-1.7149601813968358,Low,2.7757585759990957,10,10,0,1,6,1,5,15,1
