date,equipment_id,equipment_type,model,year,status,operating_hours,daily_hours_worked,fuel_consumption_lh,productivity_score,location,maintenance_cost_usd,downtime_hours,operator_id,equipment_age,utilization_rate,fuel_efficiency,maintenance_due_soon,health_score,hours_category,downtime_ratio,cumulative_hours,days_since_maintenance,equipment_id_encoded,equipment_type_encoded,model_encoded,status_encoded,location_encoded,operator_id_encoded,hours_category_encoded,failure
2025-08-15,EQ-001,Excavator,Hitachi EX1200,2018,Operational,5860,10,164.8,76.0,Pit C,0,0,OP-022,7,41.66666666666667,0.4583835946924005,0,79.9,Low,0.0,10,0,0,1,6,2,2,21,1,0
2025-08-16,EQ-001,Excavator,Hitachi EX1200,2018,Standby,5879,0,95.9,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,1,0,1,6,3,5,15,1,0
2025-08-17,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5892,0,122.8,0.0,Pit C,2558,9,OP-016,7,0.0,0.0,1,38.25,Low,0.375,10,2,0,1,6,1,2,15,1,1
2025-08-18,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5923,0,99.9,0.0,Workshop,1528,2,OP-016,7,0.0,0.0,0,47.0,Low,0.08333333333333333,10,3,0,1,6,1,5,15,1,1
2025-08-19,EQ-001,Excavator,Hitachi EX1200,2018,Standby,5924,0,291.4,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,4,0,1,6,3,1,15,1,0
2025-08-20,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5905,0,221.1,0.0,Workshop,9670,11,OP-016,7,0.0,0.0,1,35.75,Low,0.4583333333333333,10,5,0,1,6,1,5,15,1,1
2025-08-21,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5986,0,147.8,0.0,Pit B,3943,3,OP-016,7,0.0,0.0,0,45.75,Low,0.125,10,6,0,1,6,1,1,15,1,1
2025-08-22,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6014,0,260.6,0.0,Workshop,161,9,OP-016,7,0.0,0.0,1,38.25,Low,0.375,10,7,0,1,6,1,5,15,1,1
2025-08-23,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,5972,0,180.2,0.0,ROM,6439,20,OP-016,7,0.0,0.0,1,24.5,Low,0.8333333333333334,10,8,0,1,6,1,3,15,1,1
2025-08-24,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6031,0,201.8,0.0,Stockpile,7208,14,OP-016,7,0.0,0.0,1,32.0,Low,0.5833333333333334,10,9,0,1,6,1,4,15,1,1
2025-08-25,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6020,0,243.1,0.0,Workshop,2695,23,OP-016,7,0.0,0.0,1,20.75,Low,0.9583333333333334,10,10,0,1,6,1,5,15,1,1
