date,coal_mined_ton,coal_hauled_ton,coal_stockpiled_ton,coal_shipped_ton,overburden_removed_bcm,strip_ratio,active_pits,working_hours,rain_delay_hours,blast_events,safety_incidents,workforce_present,average_ore_grade_pct,ash_content_pct,moisture_content_pct,operational_efficiency_pct,haul_efficiency_pct,year,month,day_of_week,is_weekend,week_of_year,overall_efficiency,production_rate_tph,ob_efficiency,cumulative_production,production_ma7,production_ma30,production_std7,weather_delay_ratio,target_achievement_pct,production_lag1,production_lag7,production_momentum,quality_consistency
2023-11-14,10682,10426,1630,5191,26964,8.29,3,20,2,2,0,549,5643.0,12.6,12.5,75.0,97.60344504774386,2023,11,1,0,46,86.30172252387193,534.1,1348.2,10682,10682.0,10682.0,,0.1,89.01666666666667,,,,93.5784894834493
2023-11-15,11839,11544,885,5311,20051,7.05,3,23,4,0,0,508,5900.0,8.3,19.8,79.2,97.50823549286257,2023,11,2,0,46,88.35411774643129,514.7391304347826,871.7826086956521,22521,11260.5,11260.5,818.1225458328355,0.17391304347826086,98.65833333333333,10682.0,,1157.0,93.5784894834493
2023-11-16,10210,9263,1457,4658,16899,8.04,2,20,4,2,0,522,5565.0,14.6,19.7,66.7,90.72477962781586,2023,11,3,0,46,78.71238981390793,510.5,844.95,32731,10910.333333333334,10910.333333333334,838.1600881295492,0.2,85.08333333333333,11839.0,,-1629.0,93.5784894834493
2023-11-17,12126,11208,1064,7041,24555,7.22,4,21,4,2,0,530,5759.0,12.6,14.5,70.8,92.42949035131123,2023,11,4,0,46,81.61474517565561,577.4285714285714,1169.2857142857142,44857,11214.25,11214.25,915.315746978422,0.19047619047619047,101.05,10210.0,,1916.0,93.5784894834493
2023-11-18,11166,10537,1202,6873,20675,9.32,3,21,5,2,0,489,6345.0,13.2,16.3,66.7,94.36682787032062,2023,11,5,1,46,80.53341393516031,531.7142857142857,984.5238095238095,56023,11204.6,11204.6,792.9803276248409,0.23809523809523808,93.05,12126.0,,-960.0,93.5784894834493
2023-11-19,11388,11128,687,8571,23684,6.92,4,22,0,0,1,537,5895.0,10.1,12.1,91.7,97.71689497716895,2023,11,6,1,46,94.70844748858448,517.6363636363636,1076.5454545454545,67411,11235.166666666666,11235.166666666666,713.2041549701366,0.0,94.89999999999999,11166.0,,222.0,93.5784894834493
2023-11-20,10097,9661,918,5892,18561,7.58,2,21,0,1,0,511,5825.0,13.1,17.1,87.5,95.68188570862633,2023,11,0,0,47,91.59094285431317,480.8095238095238,883.8571428571429,77508,11072.57142857143,11072.57142857143,780.3486095207402,0.0,84.14166666666667,11388.0,,-1291.0,93.5784894834493
2023-11-21,12389,11618,1112,8110,28773,9.05,2,19,5,2,0,464,5611.0,11.1,13.6,58.3,93.77673742836387,2023,11,1,0,47,76.03836871418193,652.0526315789474,1514.3684210526317,89897,11316.42857142857,11237.125,896.0875807536628,0.2631578947368421,103.24166666666667,10097.0,10682.0,2292.0,93.5784894834493
2023-11-22,12417,11647,1520,6019,16757,6.92,4,22,2,0,0,520,5790.0,9.1,19.4,83.3,93.79882419263912,2023,11,2,0,47,88.54941209631956,564.4090909090909,761.6818181818181,102314,11399.0,11368.222222222223,975.3877861308973,0.09090909090909091,103.47500000000001,12389.0,11839.0,28.0,93.5784894834493
2023-11-23,12126,11527,1145,3627,24555,9.18,4,19,3,0,0,578,5728.0,11.0,18.5,66.7,95.0602012205179,2023,11,3,0,47,80.88010061025895,638.2105263157895,1292.3684210526317,114440,11672.714285714286,11444.0,846.429700622112,0.15789473684210525,101.05,12417.0,10210.0,-291.0,93.5784894834493
