date,road_id,road_type,length_km,condition_status,average_speed_kmh,dust_level,gradient_pct,width_m,traffic_volume_trucks,maintenance_work,maintenance_priority,quality_score,safety_score,traffic_density,days_since_maintenance,maintenance_urgency,road_capacity,capacity_utilization,road_id_encoded,road_type_encoded,condition_status_encoded,dust_level_encoded,maintenance_work_encoded,high_priority
2025-05-17,RD-001,Ramp Road,4.08,Critical,20,High,-5.4,22.1,137,No,5,20,39.51100401606426,33.57843137254902,30.0,60.0,3.60672,150.0,0,2,0,0,0,1
2025-05-18,RD-001,Ramp Road,4.08,Critical,11,Medium,-5.4,22.1,87,Yes,5,20,39.51100401606426,21.323529411764707,0.0,10.0,1.9836960000000001,150.0,0,2,0,2,1,1
2025-05-19,RD-001,Ramp Road,4.08,Critical,21,Low,-5.4,22.1,98,No,5,20,39.51100401606426,24.019607843137255,1.0,11.666666666666666,3.7870560000000006,150.0,0,2,0,1,0,1
2025-05-20,RD-001,Ramp Road,4.08,Critical,25,High,-5.4,22.1,239,No,5,20,39.51100401606426,58.57843137254902,2.0,13.333333333333334,4.5084,150.0,0,2,0,0,0,1
2025-05-21,RD-001,Ramp Road,4.08,Critical,29,Low,-5.4,22.1,180,No,5,20,39.51100401606426,44.11764705882353,3.0,15.0,5.229744,150.0,0,2,0,1,0,1
2025-05-22,RD-001,Ramp Road,4.08,Critical,27,Low,-5.4,22.1,109,No,5,20,39.51100401606426,26.715686274509803,4.0,16.666666666666668,4.869072,150.0,0,2,0,1,0,1
2025-05-23,RD-001,Ramp Road,4.08,Critical,11,High,-5.4,22.1,237,No,5,20,39.51100401606426,58.088235294117645,5.0,18.333333333333332,1.9836960000000001,150.0,0,2,0,0,0,1
2025-05-24,RD-001,Ramp Road,4.08,Critical,23,Low,-5.4,22.1,213,No,5,20,39.51100401606426,52.205882352941174,6.0,20.0,4.147728,150.0,0,2,0,1,0,1
2025-05-25,RD-001,Ramp Road,4.08,Critical,19,Medium,-5.4,22.1,270,No,5,20,39.51100401606426,66.17647058823529,7.0,21.666666666666664,3.4263840000000005,150.0,0,2,0,2,0,1
2025-05-26,RD-001,Ramp Road,4.08,Critical,13,Medium,-5.4,22.1,144,No,5,20,39.51100401606426,35.294117647058826,8.0,23.333333333333336,2.3443680000000002,150.0,0,2,0,2,0,1
2025-05-27,RD-001,Ramp Road,4.08,Critical,17,Low,-5.4,22.1,257,No,5,20,39.51100401606426,62.990196078431374,9.0,25.0,3.0657119999999995,150.0,0,2,0,1,0,1
2025-05-28,RD-001,Ramp Road,4.08,Critical,22,Low,-5.4,22.1,206,No,5,20,39.51100401606426,50.490196078431374,10.0,26.666666666666664,3.9673920000000003,150.0,0,2,0,1,0,1
2025-05-29,RD-001,Ramp Road,4.08,Critical,10,High,-5.4,22.1,188,No,5,20,39.51100401606426,46.07843137254902,11.0,28.333333333333332,1.80336,150.0,0,2,0,0,0,1
2025-05-30,RD-001,Ramp Road,4.08,Critical,14,Medium,-5.4,22.1,280,No,5,20,39.51100401606426,68.62745098039215,12.0,30.0,2.5247040000000003,150.0,0,2,0,2,0,1
2025-05-31,RD-001,Ramp Road,4.08,Critical,21,Medium,-5.4,22.1,82,No,5,20,39.51100401606426,20.098039215686274,13.0,31.666666666666668,3.7870560000000006,150.0,0,2,0,2,0,1
