date,vessel_id,vessel_name,vessel_type,capacity_ton,status,current_load_ton,port_location,eta_port,berthing_time_hours,demurrage_cost_usd,fuel_consumption_ton,distance_nm,utilization_pct,month,day_of_week,utilization_category,vessel_efficiency,loading_rate_tph,fuel_efficiency_nm_per_ton,port_congestion,status_priority,vessel_id_encoded,vessel_name_encoded,vessel_type_encoded,status_encoded,port_location_encoded,eta_port_encoded,utilization_category_encoded
2025-05-16,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Samarinda,2025-06-03,40.1,0.7212208458726005,-1.2016283734426239,-0.484496242427788,-0.714883548457204,5,4,,-0.868236278693218,-0.6442104063412449,-0.4406700098967054,4.325277932928738,-1.250035794565866,0,0,4,0,3,16,4
2025-05-17,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Samarinda,2025-06-03,0.0,-0.3529948633464609,-0.14876091578883083,-0.484496242427788,-0.714883548457204,5,5,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,3,16,4
2025-05-18,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,1.3699813419970657,Samarinda,2025-06-03,0.0,-0.3529948633464609,-1.675997227989937,-0.484496242427788,2.215831338969712,5,6,Full,1.99027021496457,1.3699813419970657,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,3,16,0
2025-05-19,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Tarakan,2025-06-03,45.8,-0.12137781083582849,-1.114853582976652,-0.484496242427788,-0.714883548457204,5,0,,-0.5545182142235686,-0.6442104063412449,-0.4406700098967054,4.325277932928738,-1.250035794565866,0,0,4,0,4,16,4
2025-05-20,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,0.37767281303806566,-0.484496242427788,-0.714883548457204,5,1,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,4,16,4
2025-05-21,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Balikpapan,2025-06-03,0.0,-0.3529948633464609,-0.7330445049263753,-0.484496242427788,-0.714883548457204,5,2,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,0,16,4
2025-05-22,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,1.260954352250794,Tarakan,2025-05-25,0.0,-0.3529948633464609,-0.4206552592488764,0.5587182591982197,2.0577561023231685,5,3,High,1.8576622164784893,1.260954352250794,0.5265528417446199,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,7,1
2025-05-23,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.2633846794347399,Muara Jawa,2025-05-26,0.0,-0.3529948633464609,0.614857240311722,1.7957707150400326,-0.161620220194302,5,4,Low,-0.00415408226608281,-0.2633846794347399,1.0611388854345056,-0.23119901553306169,-0.5769012422467917,0,0,4,2,2,8,2
2025-05-24,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,1.5231000471888951,-0.484496242427788,-0.714883548457204,5,5,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,4,16,4
2025-05-25,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,0.7930273576316023,Balikpapan,2025-05-30,0.0,-0.3529948633464609,-0.9413040020447081,0.7197411266767036,1.3780325847430313,5,6,Medium,1.2874478229883424,0.7930273576316023,0.963773017190227,-0.23119901553306169,-0.5769012422467917,0,0,4,2,0,12,3
