date,vessel_id,vessel_name,vessel_type,capacity_ton,status,current_load_ton,port_location,eta_port,berthing_time_hours,demurrage_cost_usd,fuel_consumption_ton,distance_nm,utilization_pct,month,day_of_week,utilization_category,vessel_efficiency,loading_rate_tph,fuel_efficiency_nm_per_ton,port_congestion,status_priority,vessel_id_encoded,vessel_name_encoded,vessel_type_encoded,status_encoded,port_location_encoded,eta_port_encoded,utilization_category_encoded
2025-05-16,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Samarinda,2025-06-03,40.1,11284,29.4,0,0.0,5,4,,30.95180819501243,0.0,0.0,1,1,0,0,4,0,3,16,4
2025-05-17,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Samarinda,2025-06-03,0.0,0,47.6,0,0.0,5,5,,40.0,0.0,0.0,0,5,0,0,4,1,3,16,4
2025-05-18,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,60263,Samarinda,2025-06-03,0.0,0,21.2,0,92.7,5,6,Full,95.62,60263.0,0.0,0,3,0,0,4,3,3,16,0
2025-05-19,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Tarakan,2025-06-03,45.8,2433,30.9,0,0.0,5,0,,38.049073851335095,0.0,0.0,1,1,0,0,4,0,4,16,4
2025-05-20,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Tarakan,2025-06-03,0.0,0,56.7,0,0.0,5,1,,40.0,0.0,0.0,0,5,0,0,4,1,4,16,4
2025-05-21,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,37.5,0,0.0,5,2,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-05-22,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,57001,Tarakan,2025-05-25,0.0,0,42.9,1367,87.7,5,3,High,92.62,57001.0,31.138952164009112,0,2,0,0,4,2,4,7,1
2025-05-23,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,11394,Muara Jawa,2025-05-26,0.0,0,60.8,2988,17.5,5,4,Low,50.5,11394.0,48.3495145631068,0,2,0,0,4,2,2,8,2
2025-05-24,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Tarakan,2025-06-03,0.0,0,76.5,0,0.0,5,5,,40.0,0.0,0.0,0,5,0,0,4,1,4,16,4
2025-05-25,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,43001,Balikpapan,2025-05-30,0.0,0,33.9,1578,66.2,5,6,Medium,79.72,43001.0,45.21489971346705,0,2,0,0,4,2,0,12,3
2025-05-26,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,17159,Samarinda,2025-05-27,0.0,0,35.5,4043,26.4,5,0,Low,55.839999999999996,17159.0,110.76712328767124,0,2,0,0,4,2,3,9,2
2025-05-27,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Banjarmasin,2025-06-03,0.0,0,54.1,0,0.0,5,1,,40.0,0.0,0.0,0,4,0,0,4,5,1,16,4
2025-05-28,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Banjarmasin,2025-06-03,0.0,0,66.5,0,0.0,5,2,,40.0,0.0,0.0,0,5,0,0,4,1,1,16,4
2025-05-29,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Tarakan,2025-06-03,33.5,11534,25.3,0,0.0,5,3,,30.75134311602919,0.0,0.0,0,1,0,0,4,0,4,16,4
2025-05-30,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,77.7,0,0.0,5,4,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-05-31,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Muara Jawa,2025-06-03,0.0,0,36.3,0,0.0,5,5,,40.0,0.0,0.0,0,4,0,0,4,5,2,16,4
2025-06-01,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Banjarmasin,2025-06-03,0.0,0,77.9,0,0.0,6,6,,40.0,0.0,0.0,0,4,0,0,4,5,1,16,4
2025-06-02,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,57836,Balikpapan,2025-06-03,0.0,0,20.9,2668,89.0,6,0,High,93.4,57836.0,121.82648401826485,0,2,0,0,4,2,0,16,1
2025-06-03,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Tarakan,2025-06-03,0.0,0,37.6,0,0.0,6,1,,40.0,0.0,0.0,0,4,0,0,4,5,4,16,4
2025-06-04,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Samarinda,2025-06-03,0.0,0,62.4,0,0.0,6,2,,40.0,0.0,0.0,0,5,0,0,4,1,3,16,4
2025-06-05,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Balikpapan,2025-06-03,0.0,0,56.4,0,0.0,6,3,,40.0,0.0,0.0,0,4,0,0,4,5,0,16,4
2025-06-06,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Banjarmasin,2025-06-03,16.2,22662,71.0,0,0.0,6,4,,21.828241520327158,0.0,0.0,0,1,0,0,4,0,1,16,4
2025-06-07,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,52256,Muara Jawa,2025-06-10,0.0,0,55.5,2873,80.4,6,5,High,88.24000000000001,52256.0,50.849557522123895,0,2,0,0,4,2,2,23,1
2025-06-08,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Balikpapan,2025-06-03,25.8,8110,62.8,0,0.0,6,6,,33.496912837783654,0.0,0.0,0,1,0,0,4,0,0,16,4
2025-06-09,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Banjarmasin,2025-06-03,0.0,0,34.2,0,0.0,6,0,,40.0,0.0,0.0,0,4,0,0,4,5,1,16,4
2025-06-10,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,56090,Balikpapan,2025-06-03,0.0,0,62.6,0,86.3,6,1,High,91.78,56090.0,0.0,0,3,0,0,4,3,0,16,1
2025-06-11,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Tarakan,2025-06-03,0.0,0,26.5,0,0.0,6,2,,40.0,0.0,0.0,0,5,0,0,4,1,4,16,4
2025-06-12,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,38.9,0,0.0,6,3,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-06-13,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,18141,Muara Jawa,2025-06-20,0.0,0,56.3,1778,27.9,6,4,Low,56.739999999999995,18141.0,31.029668411867366,0,2,0,0,4,2,2,33,2
2025-06-14,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Tarakan,2025-06-03,0.0,0,76.6,0,0.0,6,5,,40.0,0.0,0.0,0,4,0,0,4,5,4,16,4
2025-06-15,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,27890,Tarakan,2025-06-17,0.0,0,57.5,1697,42.9,6,6,Low,65.74,27890.0,29.00854700854701,0,2,0,0,4,2,4,30,2
2025-06-16,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,2693,Tarakan,2025-06-20,0.0,0,73.6,1763,4.1,6,0,Low,42.46,2693.0,23.63270777479893,0,2,0,0,4,2,4,33,2
2025-06-17,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Tarakan,2025-06-03,0.0,0,41.4,0,0.0,6,1,,40.0,0.0,0.0,0,4,0,0,4,5,4,16,4
2025-06-18,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Balikpapan,2025-06-03,20.2,6776,69.1,0,0.0,6,2,,34.566594499238235,0.0,0.0,0,1,0,0,4,0,0,16,4
2025-06-19,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Samarinda,2025-06-03,27.0,3748,61.5,0,0.0,6,3,,36.994627535883254,0.0,0.0,0,1,0,0,4,0,3,16,4
2025-06-20,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,663,Samarinda,2025-06-03,0.0,0,39.4,0,1.0,6,4,Low,40.6,663.0,0.0,0,3,0,0,4,3,3,16,2
2025-06-21,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,3304,Tarakan,2025-06-22,0.0,0,23.9,4759,5.1,6,5,Low,43.06,3304.0,191.12449799196787,0,2,0,0,4,2,4,35,2
2025-06-22,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,44417,Samarinda,2025-06-03,0.0,0,38.1,0,68.3,6,6,Medium,80.97999999999999,44417.0,0.0,0,3,0,0,4,3,3,16,3
2025-06-23,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,27728,Samarinda,2025-06-03,0.0,0,56.6,0,42.7,6,0,Low,65.62,27728.0,0.0,0,3,0,0,4,3,3,16,2
2025-06-24,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,46645,Muara Jawa,2025-06-25,0.0,0,58.1,1807,71.8,6,1,Medium,83.08,46645.0,30.57529610829103,0,2,0,0,4,2,2,38,3
2025-06-25,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,26309,Tarakan,2025-07-02,0.0,0,65.7,4318,40.5,6,2,Low,64.3,26309.0,64.73763118440779,0,2,0,0,4,2,4,45,2
2025-06-26,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,37157,Muara Jawa,2025-06-03,0.0,0,57.9,0,57.2,6,3,Medium,74.32,37157.0,0.0,0,3,0,0,4,3,2,16,3
2025-06-27,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,34698,Balikpapan,2025-07-06,0.0,0,39.2,3497,53.4,6,4,Medium,72.03999999999999,34698.0,86.99004975124377,0,2,0,0,4,2,0,49,3
2025-06-28,VSL-001,MV Coal Carrier 1,Supramax,65000,Maintenance,0,Samarinda,2025-06-03,0.0,0,55.5,0,0.0,6,5,,40.0,0.0,0.0,0,0,0,0,4,4,3,16,4
2025-06-29,VSL-001,MV Coal Carrier 1,Supramax,65000,Maintenance,0,Samarinda,2025-06-03,0.0,0,62.7,0,0.0,6,6,,40.0,0.0,0.0,0,0,0,0,4,4,3,16,4
2025-06-30,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Tarakan,2025-06-03,0.0,0,58.7,0,0.0,6,0,,40.0,0.0,0.0,0,4,0,0,4,5,4,16,4
2025-07-01,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,43.9,0,0.0,7,1,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-07-02,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,11111,Balikpapan,2025-07-11,0.0,0,26.8,4161,17.1,7,2,Low,50.26,11111.0,149.67625899280574,0,2,0,0,4,2,0,54,2
2025-07-03,VSL-001,MV Coal Carrier 1,Supramax,65000,Maintenance,0,Tarakan,2025-06-03,0.0,0,30.5,0,0.0,7,3,,40.0,0.0,0.0,0,0,0,0,4,4,4,16,4
2025-07-04,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Tarakan,2025-06-03,31.1,2049,79.8,0,0.0,7,4,,38.356988212653356,0.0,0.0,0,1,0,0,4,0,4,16,4
2025-07-05,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Muara Jawa,2025-06-03,44.4,7158,40.3,0,0.0,7,5,,34.26028385855184,0.0,0.0,1,1,0,0,4,0,2,16,4
